Notes,State,Race,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,Alabama,American Indian or Alaska Native,1990,1990,16224
,Alabama,American Indian or Alaska Native,1991,1991,17015
,Alabama,American Indian or Alaska Native,1992,1992,17357
,Alabama,American Indian or Alaska Native,1993,1993,18002
,Alabama,American Indian or Alaska Native,1994,1994,18566
,Alabama,American Indian or Alaska Native,1995,1995,19386
,Alabama,American Indian or Alaska Native,1996,1996,20493
,Alabama,American Indian or Alaska Native,1997,1997,21229
,Alabama,American Indian or Alaska Native,1998,1998,21783
,Alabama,American Indian or Alaska Native,1999,1999,22666
,Alabama,American Indian or Alaska Native,2000,2000,25139
,Alabama,American Indian or Alaska Native,2001,2001,26010
,Alabama,American Indian or Alaska Native,2002,2002,27003
,Alabama,American Indian or Alaska Native,2003,2003,28065
,Alabama,American Indian or Alaska Native,2004,2004,28974
,Alabama,American Indian or Alaska Native,2005,2005,29957
,Alabama,American Indian or Alaska Native,2006,2006,31165
,Alabama,American Indian or Alaska Native,2007,2007,32273
,Alabama,American Indian or Alaska Native,2008,2008,33518
,Alabama,American Indian or Alaska Native,2009,2009,34844
,Alabama,American Indian or Alaska Native,2010,2010,35782
,Alabama,American Indian or Alaska Native,2011,2011,35775
,Alabama,American Indian or Alaska Native,2012,2012,35927
,Alabama,American Indian or Alaska Native,2013,2013,35962
,Alabama,American Indian or Alaska Native,2014,2014,36229
,Alabama,American Indian or Alaska Native,2015,2015,36569
,Alabama,American Indian or Alaska Native,2016,2016,36811
,Alabama,American Indian or Alaska Native,2017,2017,37281
,Alabama,American Indian or Alaska Native,2018,2018,37790
Total,Alabama,American Indian or Alaska Native,,,817795
,Alabama,Asian or Pacific Islander,1990,1990,21869
,Alabama,Asian or Pacific Islander,1991,1991,23082
,Alabama,Asian or Pacific Islander,1992,1992,24350
,Alabama,Asian or Pacific Islander,1993,1993,26272
,Alabama,Asian or Pacific Islander,1994,1994,27681
,Alabama,Asian or Pacific Islander,1995,1995,29288
,Alabama,Asian or Pacific Islander,1996,1996,30557
,Alabama,Asian or Pacific Islander,1997,1997,31743
,Alabama,Asian or Pacific Islander,1998,1998,32630
,Alabama,Asian or Pacific Islander,1999,1999,33494
