State,Year,GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1990,71610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1991,76043.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1992,81260.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1993,84562.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1994,90098.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1995,95819.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1996,100145.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1997,104805.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1998,109404.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1999,115030.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2000,119242.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2001,122449.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2002,127792.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2003,133739.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2004,146524.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2005,155970.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2006,163853.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2007,169678.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2008,172686.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2009,168348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2010,174753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2011,181349.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2012,186299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2013,191481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2014,194211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2015,200402.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2016,203829.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2017,210364.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2018,221735.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1990,25039.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1991,22282.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1992,22752.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1993,23284.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1994,23604.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1995,25448.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1996,26736.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1997,27581.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1998,24170.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1999,24732.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2000,26778.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2001,28420.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2002,29605.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2003,31799.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2004,34970.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2005,39774.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2006,44435.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2007,48972.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2008,54752.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2009,49585.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2010,52882.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
